Issuer Company,Open Date,Close Date,Listing Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange,Compare
ESAF Small Finance Bank Limited IPO,"Nov 03, 2023","Nov 07, 2023","Nov 10, 2023",60,463.00,250,"BSE, NSE",
Honasa Consumer Limited IPO,"Oct 31, 2023","Nov 02, 2023","Nov 07, 2023",324,"1,701.44",46,"BSE, NSE",
Cello World Limited IPO,"Oct 30, 2023","Nov 01, 2023","Nov 06, 2023",648,"1,900.00",23,"BSE, NSE",
Blue Jet Healthcare Limited IPO,"Oct 25, 2023","Oct 27, 2023","Nov 01, 2023",346,840.27,43,"BSE, NSE",
IRM Energy Limited IPO,"Oct 18, 2023","Oct 20, 2023","Oct 26, 2023",505,545.40,29,"BSE, NSE",
Plaza Wires Limited IPO,"Sep 29, 2023","Oct 05, 2023","Oct 12, 2023",54,71.28,277,"BSE, NSE",
Valiant Laboratories Limited IPO,"Sep 27, 2023","Oct 03, 2023","Oct 06, 2023",140,152.46,105,"BSE, NSE",
Updater Services Limited IPO,"Sep 25, 2023","Sep 27, 2023","Oct 04, 2023",300,640.00,50,"BSE, NSE",
JSW Infrastructure Limited IPO,"Sep 25, 2023","Sep 27, 2023","Oct 03, 2023",119,"2,800.00",126,"BSE, NSE",
Manoj Vaibhav Gems 'N' Jewellers Limited IPO,"Sep 22, 2023","Sep 26, 2023","Oct 03, 2023",215,270.20,69,"BSE, NSE",
Sai Silks (Kalamandir) Limited IPO,"Sep 20, 2023","Sep 22, 2023","Sep 27, 2023",222,"1,201.00",67,"BSE, NSE",
Signatureglobal (India) Limited IPO,"Sep 20, 2023","Sep 22, 2023","Sep 27, 2023",385,730.00,38,"BSE, NSE",
Yatra Online Limited IPO,"Sep 15, 2023","Sep 20, 2023","Sep 28, 2023",142,775.00,105,"BSE, NSE",
Zaggle Prepaid Ocean Services Limited IPO,"Sep 14, 2023","Sep 18, 2023","Sep 22, 2023",164,563.38,90,"BSE, NSE",
SAMHI Hotels Limited IPO,"Sep 14, 2023","Sep 18, 2023","Sep 22, 2023",126,"1,370.10",119,"BSE, NSE",
R R Kabel Limited IPO,"Sep 13, 2023","Sep 15, 2023","Sep 20, 2023","1,035","1,964.01",14,"BSE, NSE",
EMS Limited IPO,"Sep 08, 2023","Sep 12, 2023","Sep 21, 2023",211,321.24,70,"BSE, NSE",
Jupiter Life Line Hospitals Limited IPO,"Sep 06, 2023","Sep 08, 2023","Sep 18, 2023",735,869.08,20,"BSE, NSE",
Ratnaveer Precision Engineering Limited IPO,"Sep 04, 2023","Sep 06, 2023","Sep 11, 2023",98,165.03,150,"BSE, NSE",
Rishabh Instruments Limited IPO,"Aug 30, 2023","Sep 01, 2023","Sep 11, 2023",441,490.78,34,"BSE, NSE",
Vishnu Prakash R Punglia Limited IPO,"Aug 24, 2023","Aug 28, 2023","Sep 05, 2023",99,308.88,150,"BSE, NSE",
Aeroflex Industries Limited IPO,"Aug 22, 2023","Aug 24, 2023","Aug 31, 2023",108,351.00,130,"BSE, NSE",
Pyramid Technoplast Limited IPO,"Aug 18, 2023","Aug 22, 2023","Aug 29, 2023",166,153.05,90,"BSE, NSE",
TVS Supply Chain Solutions Limited IPO,"Aug 10, 2023","Aug 14, 2023","Aug 23, 2023",197,880.00,76,"BSE, NSE",
Concord Biotech Limited IPO,"Aug 04, 2023","Aug 08, 2023","Aug 18, 2023",741,"1,551.00",20,"BSE, NSE",
SBFC Finance Limited IPO,"Aug 03, 2023","Aug 07, 2023","Aug 16, 2023",57,"1,025.00",260,"BSE, NSE",
Yatharth Hospital and Trauma Care Services Limited IPO,"Jul 26, 2023","Jul 28, 2023","Aug 07, 2023",300,686.55,50,"BSE, NSE",
Netweb Technologies India Limited IPO,"Jul 17, 2023","Jul 19, 2023","Jul 27, 2023",500,631.00,30,"BSE, NSE",
Utkarsh Small Finance Bank Limited IPO,"Jul 12, 2023","Jul 14, 2023","Jul 21, 2023",25,500.00,600,"BSE, NSE",
Senco Gold Limited IPO,"Jul 04, 2023","Jul 06, 2023","Jul 14, 2023",317,405.00,47,"BSE, NSE",
PKH Ventures Limited IPO,"Jun 30, 2023","Jul 04, 2023","Jul 12, 2023",140.00 to 148.00,379.00,100,"BSE, NSE",
Cyient DLM Limited IPO,"Jun 27, 2023","Jun 30, 2023","Jul 10, 2023",265,592.00,56,"BSE, NSE",
ideaForge Technology Limited IPO,"Jun 26, 2023","Jun 30, 2023","Jul 07, 2023",672,567.29,22,"BSE, NSE",
HMA Agro Industries Limited IPO,"Jun 20, 2023","Jun 23, 2023","Jul 04, 2023",585,480.00,25,"BSE, NSE",
IKIO Lighting Limited IPO,"Jun 06, 2023","Jun 08, 2023","Jun 16, 2023",285,606.50,52,"BSE, NSE",
Nexus Select Trust REIT,"May 09, 2023","May 11, 2023","May 19, 2023",100,"3,200.00",150,"BSE, NSE",
Mankind Pharma Limited IPO,"Apr 25, 2023","Apr 27, 2023","May 09, 2023","1,080","4,326.36",13,"BSE, NSE",
Avalon Technologies Limited IPO,"Apr 03, 2023","Apr 06, 2023","Apr 18, 2023",436,865.00,34,"BSE, NSE",
Udayshivakumar Infra Limited IPO,"Mar 20, 2023","Mar 23, 2023","Apr 03, 2023",35,66.00,428,"BSE, NSE",
Global Surfaces Limited IPO,"Mar 13, 2023","Mar 15, 2023","Mar 23, 2023",140,154.98,100,"BSE, NSE",
Divgi TorqTransfer Systems Limited IPO,"Mar 01, 2023","Mar 03, 2023","Mar 14, 2023",590,412.12,25,"BSE, NSE",
Adani Enterprises Limited FPO,"Jan 27, 2023","Jan 31, 2023","Feb 08, 2023",3112.00 to 3276.00,"20,000.00",4,"BSE, NSE",
Indo Farm Equipment Limited IPO,,,,,,,"BSE, NSE",
Avanse Financial Services Limited IPO,,,,,"3,500.00",,"BSE, NSE",
Ventive Hospitality Limited IPO,"Dec 20, 2024","Dec 24, 2024","Dec 30, 2024",,"1,600.00",,"BSE, NSE",
Concord Enviro Systems Limited IPO,"Dec 19, 2024","Dec 23, 2024","Dec 27, 2024",410.00 to 432.00,375.49,,"BSE, NSE",
Sanathan Textiles Limited IPO,"Dec 19, 2024","Dec 23, 2024","Dec 27, 2024",305.00 to 321.00,550.00,,"BSE, NSE",
